Customer Name,Employee Name,Route Name,State
C0096,1319,Local-Rudhauli,
C0162,,Harihar Pur To Ajawan,
C0162,1319,Harihar Pur To Ajawan,
C0162,,Jarma Patti Kali,
C0162,1319,Jarma Patti Kali,
C0162,,Mukhlispur,
C0162,1319,Mukhlispur,
C0162,,Haisar,
C0162,1319,Haisar,
C0255,,Local -Visheshwarganj,
C0255,1319,Local -Visheshwarganj,
C0255,,Dabaulia,
C0255,1319,Dabaulia,
C0490,,Semriyawan Road,
C0490,1319,Semriyawan Road,
C0490,,Ghesiyari,
C0490,1319,Ghesiyari,
C0490,,Hanumanganj,
C0490,1319,Hanumanganj,
C0632,,Local- Makhoda,
C0632,1319,Local- Makhoda,
C0632,,Parsa Road -Kohrai Road,
C0632,1319,Parsa Road -Kohrai Road,
C0632,,Parsa Road,
C0632,1319,Parsa Road,
C1048,,Local -Chawni Bazar,
C1048,1319,Local -Chawni Bazar,
C1552,,Local -Dumariyaganj,
C1552,1319,Local -Dumariyaganj,
C2617,,Local- Malauli,
C2617,1319,Local- Malauli,
C2617,,Patthapur,
C2617,1319,Patthapur,
C2617,,Kohray,
C2617,1319,Kohray,
C2617,,Amari,
C2617,1319,Amari,
C2718,,Local -Medhawal,
C2718,1319,Local -Medhawal,
C2801,,Local -Harraiya,
C2801,1319,Local -Harraiya,
C2956,,Karwari Khusauhara,
C2956,1319,Karwari Khusauhara,
C2956,,Chilmapur Daboulia,
C2956,1319,Chilmapur Daboulia,
C2956,,Captanganj road,
C2956,1319,Captanganj road,
C2956,,Local -Nagar Bazar,
C2956,1319,Local -Nagar Bazar,
C1201,1183,SUBHAGPUR,
C1201,1184,SUBHAGPUR,
C1201,1171,SUBHAGPUR,
C1201,1183,Maharajganj,
C1201,1184,Maharajganj,
C1201,1171,Maharajganj,
C1201,1171,ETIYATHOK LOCAL,
C1201,1183,BEHLOLPUR,
C1201,1184,BEHLOLPUR,
C1201,1183,GILAULI,
C1201,1184,GILAULI,
C1201,1171,GILAULI,
C1201,1183,ITIYATHOK LOCAL,
C1201,1184,ITIYATHOK LOCAL,
C1201,1171,ITIYATHOK LOCAL,
C2045,1183,CHAMRUPUR LOCAL,
C2045,1184,CHAMRUPUR LOCAL,
C2045,1171,CHAMRUPUR LOCAL,
C2045,1183,MADYIYYA,
C2045,1184,MADYIYYA,
C2608,1183,LOCAL Gaura Chauri,
C2608,1184,LOCAL Gaura Chauri,
C2608,1171,LOCAL Gaura Chauri,
C0476,1629,MAU AIMA,
C0476,1629,SADAR BAZAR,
C2677,1629,ANAPUR LOCAL,
C1814,1629,JALALPUR-BALIPUR,
C1814,1629,ASIDIYA-JUDDIKAPURA,
C1814,1629,DHANUPUR,
C2675,1629,SIRSA BAZAR,
C1991,1629,LALGOPALGANG LOCAL,
C2395,1629,SALLAHPUR BAZAR,
C0488,1629,BAHADURGANJ CHAUK,
C0518,1629,CHAMPHA,
C0518,1629,MANJHANPUR,
C0518,1629,ASARA-FAIZIPUR,
C0518,1629,KARARI LOCAL,
C0518,1629,BENI KATRA,
C0518,1629,KATRA BAZAR,
C1980,1629,DEVIGANJ-KALYANPYR,
C1980,1629,SIRATHU LOCAL,
C1990,1629,DAHIYAVA-SHIVGARH,
C2752,1629,LENDIYARI LOCAL,
C2048,1629,RAMNAGAR MEJA,
C2092,1629,BARETHI,
C2092,1629,SARAI INAYAT,
C2092,1629,KACHHAR,
C2092,1629,HANUMANGANJ BAZAR,
C2092,1629,MOHANGANJ-CHANDAUHA,
C2449,1629,JALALPUR-BALIPUR,
C2449,1629,SORO UGRASENPUR,
C2449,1629,PHOOLPUR LOCAL,
C2449,1629,SAHSO-BABUGANJ,
C2449,1629,PHOOLPUR BAZAR,
C2632,1629,KATRA-RAJAPUR,
C2632,1629,NAINI,
C0122,1007,Khutha,
C0122,1007,Chowk bazar,
C0122,1007,Shikarpur-Dharampur,
C0122,1007,Sinduriya-Mithaura,
C0122,1007,Local-MAHARAJGANJ,
C0719,1183,COLONELGANJ,
C0719,1184,COLONELGANJ,
C0719,1171,COLONELGANJ,
C2636,1183,BHUJENIBHAR,
C2636,1184,BHUJENIBHAR,
C2636,1171,BHUJENIBHAR,
C2636,1183,GADDIPUR,
C2636,1184,GADDIPUR,
C2636,1171,GADDIPUR,
C2636,1183,SAHDULLANAGAR,
C2636,1184,SAHDULLANAGAR,
